Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
3653,UEI-IMD-FL-2007-0074,2007-10-20,20-10-2007 00:00,1.0,heavy rains,,"Davangere,Hassan",Karnataka,,,,,7.0,,,,7 persons died.,About 511 houses damaged.,IMD,,"535, 539",29
3654,UEI-IMD-FL-2007-0075,2007-10-22,22-10-2007 00:00,1.0,heavy rains,,"Hassan,Mysuru",Karnataka,,,,,2.0,1.0,,,"2 persons died,a girl injured due to wall collapse.","Damage to pepper, cardamom, maize,sunflower crops reported.",IMD,,"539, 545",29
3655,UEI-IMD-FL-2007-0076,2007-10-25,25-10-2007 00:00,1.0,heavy rains,,"Hassan,Raichur",Karnataka,,,,,3.0,,,,3 children died due to house collapse.,110 houses collapsed.,IMD,,"539, 546",29
3776,UEI-IMD-FL-2008-0052,2008-03-26,31-03-2008 00:00,6.0,heavy rains,,"Bengaluru Rural, Gadag,Haveri",Karnataka,,,,,,1.0,,,One boy washed away.,i) Extensive damage to crops reported. ii)About 260 houses collapsed. iii) Several trees / electric poles uprooted. ,IMD,,"526, 537, 540",29
3777,UEI-IMD-FL-2008-0053,2008-06-01,02-06-2008 00:00,2.0,heavy rains,,"Bengaluru Rural, Belagavi,Uttar Kashia Kannada ",Karnataka,,,,,,,,,,i) Extensive damage to crops reported. ii) Electric poles uprooted. iii) Few houses damaged. ,IMD,,"526, 527, None",29
3778,UEI-IMD-FL-2008-0054,2008-07-14,15-07-2008 00:00,2.0,heavy rains,,"Bengaluru Rural,Mysuru",Karnataka,,,,,1.0,,,,One person died.,i)Low lying areas inundated. ii) Electric poles / trees uprooted. ,IMD,,"526, 545",29
3779,UEI-IMD-FL-2008-0055,2008-07-20,22-07-2008 00:00,3.0,heavy rains,,"Bengaluru Rural,Mysuru",Karnataka,,,,,3.0,,,,"3 persons including a woman,girl died.","i)Low lying areas flooded. Electric poles / trees uprooted, ",IMD,,"526, 545",29
3780,UEI-IMD-FL-2008-0056,2008-07-25,31-07-2008 00:00,7.0,"flash flood (ghatprabha, hiranyakeshi, kaveri, tunga,many other rivers)",,"Belagavi, Chikkaballapura, Kalaburagi, Dakshina Kannada, Kodagu, Mysuru, Shivamogga,Uttar Kashia Kannada ",Karnataka,,,,,3.0,3.0,,,"3 persons died,3 others injured. ",i)Extensive damage to crops reported including 600 acres of Tobacco. ii)Electric poles uprooted. iii) Few houses damaged. iv) Paddy fields waterlogged. ,IMD,,"527, 630, 538, 534, 541, 545, 547, None",29
3782,UEI-IMD-FL-2008-0058,2008-08-01,28-08-2008 00:00,28.0,flood,,Ballari,Karnataka,,,,,,,,,,"i)Standing crops of paddy, maize, sunflower, sugarcane, banana, bajara & cotton in 7260 acres of land in 69 villages of Hadagali, Hospet & Siruguppa taluks damaged. ii) Loss estimated to worth Rs. 4.52 crores. ",IMD,,528,29
3781,UEI-IMD-FL-2008-0057,2008-08-25,31-08-2008 00:00,7.0,,,"Bengaluru Rural, Ballari, Chamarajanagaraa Davangere,  Kalaburagi, Hassan,Mysuru,",Karnataka,,,,,5.0,,,10,i)5 persons died. ii) 10 cattle perished.,"i) Thousand acres of crop damaged. ii) Low lying areas inundated. iii) Many houses, bridges,buildings damaged. iv) Trees / electric poles uprooted. ",IMD,,"526, 528, None, 538, 539, 545, 603",29
3783,UEI-IMD-FL-2008-0059,2008-09-01,07-09-2008 00:00,7.0,heavy rains,,"Bagalkotee, Bengaluru Rural, Belagavi , Ballari, Beedar, Bijapur, Chikodi, Chitradurga, Davangere, Gadag, Kalaburagi, Hassan, Dharwad,Raichur",Karnataka,,,,,30.0,9.0,,,"i)30 Persons died,9 injured. ii) Some of the live stock washed away. ","i) Extensive damage to the crops reported. ii) 60 houses,a bridge collapsed. iii) Many villages inundated. ",IMD,,"None, 526, 527, 528, None, 636, None, 533, 535, 537, 538, 539, 536, 546",29
3784,UEI-IMD-FL-2008-0060,2008-09-20,24-09-2008 00:00,5.0,heavy rains,,"Beedar,Bijapur",Karnataka,,,,,2.0,,,,2 Persons died,i) Catchment area of Bhima river inundated. ii) About 6000 acres of crop area damaged. ,IMD,,"None, 636",29
3785,UEI-IMD-FL-2008-0061,2008-10-08,08-10-2008 00:00,1.0,heavy rains,,Bagalkotee,Karnataka,,,,,3.0,2.0,,,"3 persons died,2 others injured.",,IMD,,,29
3873,UEI-IMD-FL-2009-0022,2009-05-18,18-05-2009 00:00,1.0,heavy rains,,Chikkaballapura,Karnataka,,,,,,,,,,Bydgi crops damaged.,IMD,,630,29
3874,UEI-IMD-FL-2009-0023,2009-05-22,23-05-2009 00:00,2.0,heavy rains,,Bengaluru Rural,Karnataka,,,,,1.0,,,,One woman died.,,IMD,,526,29
3875,UEI-IMD-FL-2009-0024,2009-06-11,15-06-2009 00:00,5.0,heavy rains,,Bengaluru Urban,Karnataka,,,,,,3.0,,,3 persons washed away.,,IMD,,525,29
3876,UEI-IMD-FL-2009-0025,2009-07-03,08-07-2009 00:00,6.0,heavy rains,,"Dakshina Kannada, Mangalore, Shivamogga,Udupi",Karnataka,,,,,,11.0,,,11 persons washed away.,32 houses washed away in Udupi,IMD,,"534, None, 547, 549",29
